RMSE,LL,N,AUC
0.404771424431908,0.49443028610628,34664,0.790843824086662
0.398507164705402,0.482086798727178,34664,0.798048945968702
0.397078349753149,0.478602299567885,34664,0.80078675221757
0.396807791025983,0.478277629980176,34664,0.801901063136038
0.396721241967667,0.478001691382328,34664,0.802244394304776
0.395822429974612,0.475990443020501,34664,0.803833923360176
0.395571780090597,0.47526935427773,34664,0.803912444763242
0.39607062940225,0.476129464010563,34664,0.802943694833305
0.395786073805378,0.475495747191253,34664,0.802631463636338
0.396118962404559,0.475893888378456,34664,0.802133883498508
0.396378223285815,0.476305286651596,34664,0.801607518560983
0.396519566636246,0.476722807727177,34664,0.801786232944576
0.396706251359694,0.477397938245146,34664,0.801630512166548
0.396309197018683,0.476608853644884,34664,0.802181063442412
0.397055539981154,0.477953807023503,34664,0.800762031613779
0.396738687969913,0.477275868927627,34664,0.801383823856096
0.396255896754351,0.476396299670863,34664,0.801668403730207
0.395893292418944,0.475721298951988,34664,0.800092421826116
0.395852473295014,0.475598761778057,34664,0.800124941984275
0.396003845384608,0.475769432222262,34664,0.799523328059941
0.395900829607829,0.475562349874437,34664,0.799368236204972
0.396286538271657,0.476256689647464,34664,0.799556874844965
0.395792353241935,0.475331521343175,34664,0.799868252240585
0.395901869217553,0.475286470274092,34664,0.799240317775571
0.396310107671302,0.476269890170004,34664,0.796950452259272
0.396932592793837,0.477384459178268,34664,0.797171190096686
0.396826647224558,0.477155693354772,34664,0.797749281722567
0.396388839531842,0.476283966303609,34664,0.797839468279384
0.396657651446798,0.476594991731817,34664,0.798362602182509
0.396604097346341,0.476696678783504,34664,0.797702440895698
