RMSE,LL,N,AUC
0.428018334102705,0.545748552739065,38584,0.802042805012331
0.421828419061618,0.532921934348437,38585,0.811950362301115
0.422218785046309,0.532649987061591,38585,0.810255458912204
0.420575453286845,0.52903279507532,38585,0.812995663078501
0.418739630652657,0.524979712480263,38584,0.814722745684711
0.418616015985743,0.524507566065365,38584,0.815734089165601
0.418033706534866,0.523395289693815,38585,0.817448897239768
0.417770985317596,0.523058808133174,38585,0.818396989256871
0.417841489005897,0.523007716813395,38585,0.817832337579727
0.417383518140401,0.522380780714759,38584,0.818057968310215
0.417576760379539,0.522733197186667,38585,0.81793188646571
0.418181425565985,0.52418339696266,38585,0.816442314935781
0.417467668931899,0.522792972608014,38585,0.816817000687695
0.41724464168964,0.522560332019104,38585,0.817198242250462
0.417023982691683,0.521959799208866,38584,0.817288691593146
0.417101182493445,0.522252230277951,38585,0.817128211879007
0.416809581036287,0.521377597110211,38585,0.817384941503117
0.416354800091799,0.520293272969037,38585,0.818133382956692
0.416351103369316,0.520351675460276,38585,0.818392384292676
0.416534499590902,0.52081481538177,38584,0.818391763055428
0.416752998288064,0.52136002475648,38585,0.817897511877639
0.416914476597983,0.52188514160236,38585,0.817679542378421
0.416581978474611,0.521021993157002,38585,0.818288102085113
0.416510709367559,0.521073521575005,38584,0.81846857986271
0.416710881826286,0.521490016273744,38584,0.818154123129766
0.416662085825233,0.521263100080292,38585,0.817879950440156
0.416629080793194,0.520890556246702,38585,0.817854595059539
0.416796167752707,0.521314592123454,38585,0.817793974208698
0.416451386164904,0.520393260237039,38584,0.818289336239501
0.416957287320107,0.521347981755564,38585,0.817491685016764
