RMSE,LL,N,AUC
0.375446972815105,0.883925940201064,13224,0.626914461143501
0.44000286738974,1.20255988295994,13224,0.611331775605946
0.471570958718412,1.17342799497197,13224,0.600235037009563
0.396302529015007,0.853967966740983,13224,0.685835574708893
0.367824958200699,0.578775382894113,13224,0.694351038383752
0.321552277069668,0.448806841325751,13224,0.730597267984788
0.313744512790683,0.396617490275836,13224,0.732959372085045
0.32745599290956,0.435130776730868,13223,0.737002893114578
0.313160489855038,0.391263987696322,13223,0.746593976584117
0.311649317776377,0.362318779115871,13223,0.75152496526778
0.310816112001802,0.360612753186725,13223,0.762545641841258
0.310780794227042,0.371376230196203,13224,0.765725472564038
0.310851317472344,0.364987487368295,13224,0.763963993790413
0.312188427206669,0.369726680045016,13224,0.76586527551908
0.312432753730754,0.370560165689455,13224,0.769114106330281
0.313837686874611,0.377265410788471,13224,0.767549061182591
0.314968983066111,0.375096764428243,13224,0.769863018303879
0.315565841437275,0.377708175193452,13224,0.767820441715212
0.315781497558815,0.378940702685722,13223,0.763968416077947
0.31594704722052,0.379904097568473,13223,0.762518721653395
0.316479614996933,0.370358772095838,13223,0.761085784596143
0.318322658076176,0.365574792135954,13223,0.760548478230235
0.319076126842154,0.364222660116468,13224,0.759527433388001
0.320686296116452,0.366518728273014,13224,0.757266981843095
0.320212046798706,0.366074648509398,13224,0.754865580700734
0.31821679686108,0.358052476053067,13224,0.763509945396057
0.317967971043171,0.353580986829619,13224,0.761321541748183
0.31901734758066,0.356843710577406,13224,0.761021309477826
0.319284805116728,0.357955449662754,13224,0.762741204552743
0.318832948315771,0.356817971091193,13224,0.76420641622453
