RMSE,LL,N,AUC
0.535736790907175,1.48630409698197,38584,0.649878647280263
0.483292024547167,1.12343067506219,38585,0.722765163375244
0.456776670318456,0.838621553474123,38585,0.759682929705662
0.44627320242643,0.721908317681716,38585,0.772796706690591
0.441863039831307,0.651852901859836,38584,0.775409938325323
0.42970549302736,0.59226220852694,38584,0.796888066122176
0.427713886363492,0.588870252987894,38585,0.802243613344609
0.426988691289453,0.589503832698583,38585,0.804287860740261
0.424957009761116,0.574167579218207,38585,0.806676137192024
0.423833230019524,0.568792421931758,38584,0.808401126067189
0.423083416320499,0.566785090176011,38585,0.810577522036072
0.422931405536918,0.566321427852079,38585,0.810761675630737
0.420667218890846,0.555598059776627,38585,0.813188767561647
0.420772630578243,0.557297703233319,38585,0.812916999609766
0.420180479462227,0.553316083434256,38584,0.813717982977818
0.419412210939947,0.549897624680446,38585,0.815009864226927
0.418893724670456,0.543205480448554,38585,0.815487354560904
0.418160899827508,0.537852883183159,38585,0.816728493843741
0.418238015860848,0.539056935141796,38585,0.816932850022753
0.418590552083172,0.541691340588865,38584,0.81667077685351
0.418818462267991,0.541888133942123,38585,0.816276166881084
0.418956784627126,0.542039665517888,38585,0.816104582585292
0.4187677170342,0.540264205881308,38585,0.81642068394814
0.418774832355949,0.539293468810252,38584,0.81645263003596
0.418704490741889,0.537557382599201,38584,0.81664386049182
0.418298314509117,0.534615229386661,38585,0.816918252618732
0.41834477417257,0.53285624293496,38585,0.816736526619949
0.41846399180484,0.532276860548422,38585,0.816814209070461
0.418048576001908,0.530415800305892,38584,0.817295487578783
0.41878243443608,0.531935222943424,38585,0.815967855924655
