RMSE,LL,N,AUC
0.545111505511812,1.47228106845924,38584,0.648613614441949
0.495275915728917,1.16611618697701,38585,0.709900076374054
0.475296163817479,0.915388980668024,38585,0.747677400210811
0.469794863030156,0.801391305931433,38585,0.750154968083211
0.467043933715174,0.729171192481228,38584,0.749194172098312
0.446704571979897,0.639957229400497,38584,0.768065961334942
0.444979042293883,0.637953050100068,38585,0.771147221414024
0.443054719884798,0.634911680500769,38585,0.77513678555326
0.441698043939794,0.61951001534876,38585,0.777189327562318
0.440566919900835,0.61636375462574,38584,0.77957617618661
0.438213374689422,0.608365660198201,38585,0.784991182810987
0.437834665391047,0.609364727624317,38585,0.785877371519707
0.436315306882136,0.600697124555093,38585,0.787230870351575
0.435741581319702,0.598120871896333,38585,0.787955028758547
0.434699071016445,0.592938185310418,38584,0.789138573325715
0.435896838740328,0.596213642111539,38585,0.786558866099074
0.435374352154403,0.591570020218485,38585,0.78716982039054
0.434903148251173,0.583721398506114,38585,0.78773356637891
0.433859483135872,0.580979000874426,38585,0.789076721151189
0.434477388673723,0.585970663726573,38584,0.788033844406329
0.434625826698449,0.586799537098828,38585,0.787974120871788
0.434427597333233,0.587219113045032,38585,0.788482232073608
0.435436339698856,0.589925079414485,38585,0.786676771241757
0.435956577194939,0.591456155540594,38584,0.785966780485709
0.43445998893243,0.581869085942062,38584,0.788141823663236
0.434426167623563,0.57986772346294,38585,0.787902599979944
0.435025957969597,0.578910959059261,38585,0.786565346712237
0.435984640838681,0.580551819097258,38585,0.785143229076918
0.4363742947344,0.580096716912402,38584,0.784349023289853
0.437677183610122,0.583301640600069,38585,0.78177300102652
