RMSE,LL,N,AUC
0.349516150859851,1.12744649690461,13165,0.516354177791077
0.418364297352142,,13165,0.546178748455106
0.359376213638971,,13165,0.514951474793299
0.374141671508114,,13165,0.514537581655779
0.366919447704718,,13164,0.530913389015682
0.394070962229894,,13158,0.513481367847448
0.363012118249194,,13155,0.534695793834326
0.369350430381709,,13150,0.526689246993357
0.354846651705775,,13147,0.542044196386845
0.36401832146443,,13146,0.538655471966501
0.41311400211425,,13146,0.525235127255336
0.38783345537281,,13146,0.541103206277595
0.368674459284818,,13146,0.548202181980622
0.362001350586087,,13146,0.558295469006245
0.393757836023662,,13146,0.551633782163472
0.358605768582118,,13146,0.582430269127113
0.372124978517832,,13146,0.567563057445811
0.360494549747607,0.900281825043724,13147,0.59156398383759
0.372789843614637,,13146,0.587036110637341
0.36643107723606,,13147,0.614769243271558
0.366235013122599,,13148,0.598934767438267
0.350403170777434,,13148,0.622168237311569
0.361052726730859,,13149,0.614838451837878
0.355565397768813,,13151,0.606131761705567
0.37039425951642,,13152,0.600385051879839
0.344486276331787,0.658866165908407,13153,0.601547866637553
0.357079945343512,,13153,0.621873149672011
0.351472520266116,,13156,0.623780128458706
0.352746082260933,,13157,0.627039345285818
0.358409974733262,,13158,0.63826828280658
