RMSE,LL,N,AUC
0.415243789347037,0.517434317187525,34664,0.77816128683622
0.413078847779052,0.512621631671427,34664,0.782874256158532
0.411530220487208,0.509144055990734,34664,0.781031002399974
0.411948003391358,0.51070785484891,34664,0.780298661980071
0.411685809869605,0.510015167631824,34664,0.780777074148923
0.411488543232689,0.509848478694635,34664,0.781773741300403
0.411396717382178,0.509620669334442,34664,0.780596044763519
0.410646148303062,0.508195399219834,34664,0.781109235075376
0.408145370334349,0.502701007682469,34664,0.782986395015359
0.409309566806667,0.50514228339878,34664,0.779575129955171
0.409171720803982,0.504623901484094,34664,0.781133748759877
0.409738505138652,0.506089638210895,34664,0.781200580205613
0.40963377788537,0.505860057379387,34664,0.781928683781437
0.409074666223489,0.504736128404729,34664,0.78249133376344
0.410262188957813,0.507034868712172,34664,0.781903130582759
0.40999431308535,0.506054892506537,34664,0.782616681796053
0.408742349812198,0.50371613731939,34664,0.783680919088988
0.408507333725623,0.503229921922718,34664,0.783492924283581
0.408935763323362,0.504236538961273,34664,0.783244063878038
0.408662937885057,0.503751623782768,34664,0.781292927013517
0.408284524312818,0.50276034529473,34664,0.781904188515677
0.408684824384715,0.503501079394322,34664,0.782391771802221
0.407952433417643,0.502081747454232,34664,0.781979640623937
0.408463134557876,0.502857805617378,34664,0.780938599606356
0.40780447465772,0.500887135312397,34664,0.780527813324005
0.408550944266653,0.502932316262152,34664,0.780784764828702
0.408165921899508,0.501713984087185,34664,0.781618802413915
0.407728041381316,0.500831875066265,34664,0.781155727877672
0.408483026520628,0.502806618709936,34664,0.781466627955463
0.40895464723952,0.503980901113429,34664,0.78051167012647
