RMSE,LL,N,AUC
0.409268961202569,0.504470421040738,38584,0.830822693123167
0.402927012373271,0.490857185388882,38585,0.843226366171458
0.402962247743902,0.491004148483621,38585,0.844516091077294
0.40104953545961,0.487913054472335,38585,0.84672092133853
0.398991214122155,0.483969594645241,38584,0.848657561888301
0.398959957053945,0.483588004486275,38584,0.849141049246438
0.398598087282575,0.482904097281435,38585,0.850479245919203
0.39858982959297,0.48256386882072,38585,0.850471657591488
0.398382680480075,0.48202639041523,38585,0.850730820160225
0.397750645274543,0.480660633082824,38584,0.851065832827717
0.397880630753216,0.480826158912481,38585,0.851180421925456
0.398212650957962,0.481290599063793,38585,0.849894023312238
0.397373733171096,0.479796064874165,38585,0.850357054058663
0.397191477102502,0.479528033883783,38585,0.850501884321078
0.396852027334354,0.478888554439298,38584,0.850932992591245
0.396700051084949,0.478574468194508,38585,0.851011766909207
0.396439238965137,0.47807155853321,38585,0.851172151936409
0.396116147974646,0.477458394445617,38585,0.851456288846179
0.396091703576159,0.477363486527769,38585,0.85168924907556
0.396225764608641,0.47762174346384,38584,0.851641068010904
0.396218210049201,0.477743694648178,38585,0.851622126790114
0.39616662961691,0.477751186011642,38585,0.85173248230752
0.395984068713151,0.47721403162288,38585,0.851968264618638
0.395921973357862,0.477113975989809,38584,0.852043591857113
0.396073517909661,0.477519651247078,38584,0.851830748897997
0.395950971409255,0.477210049615205,38585,0.851777090131052
0.395816358796874,0.476886259247962,38585,0.851991970458615
0.396109642707828,0.477504192256852,38585,0.851686011427512
0.395849377640898,0.476863400503956,38584,0.851905907149078
0.396161538467998,0.477497499719924,38585,0.851448579276381
